starttime,detector_id,speed
2018-05-05 00:45:00-07,101183,59.33
2018-05-05 00:45:00-07,101184,64.7
2018-05-05 00:45:00-07,101185,71.5
2018-05-05 00:45:00-07,101186,60.67
2018-05-05 00:45:00-07,101187,62
2018-05-05 00:50:00-07,100890,53.94
2018-05-05 00:50:00-07,100891,60
2018-05-05 00:50:00-07,100892,64.46
2018-05-05 00:50:00-07,100893,60.61
2018-05-05 00:50:00-07,100894,51.04
2018-05-05 00:50:00-07,100895,47.93
2018-05-05 00:50:00-07,100897,44.53
2018-05-05 00:50:00-07,100898,60.14
2018-05-05 00:50:00-07,100899,64.63
2018-05-05 00:50:00-07,100900,62.09
2018-05-05 00:50:00-07,100901,61.14
2018-05-05 00:50:00-07,100902,64.11
2018-05-05 00:50:00-07,100903,50.42
2018-05-05 00:50:00-07,101137,53.16
2018-05-05 00:50:00-07,101138,57.84
2018-05-05 00:50:00-07,101139,63.64
2018-05-05 00:50:00-07,101140,57
2018-05-05 00:50:00-07,101141,59.49
2018-05-05 00:50:00-07,101142,63.55
2018-05-05 00:50:00-07,101143,61.45
2018-05-05 00:50:00-07,101144,60.78
2018-05-05 00:50:00-07,101145,66.33
2018-05-05 00:50:00-07,101150,59.57
2018-05-05 00:50:00-07,101151,62.69
2018-05-05 00:50:00-07,101152,70.25
2018-05-05 00:50:00-07,101153,62
2018-05-05 00:50:00-07,101154,62.23
2018-05-05 00:50:00-07,101155,69.62
2018-05-05 00:50:00-07,101156,59.33
2018-05-05 00:50:00-07,101157,61.49
2018-05-05 00:50:00-07,101158,63.88
2018-05-05 00:50:00-07,101160,66.82
2018-05-05 00:50:00-07,101161,68
2018-05-05 00:50:00-07,101162,56.6
2018-05-05 00:50:00-07,101163,57.67
2018-05-05 00:50:00-07,101164,58.6
2018-05-05 00:50:00-07,101165,63
2018-05-05 00:50:00-07,101166,63.27
2018-05-05 00:50:00-07,101167,67.88
2018-05-05 00:50:00-07,101168,67.6
2018-05-05 00:50:00-07,101169,66.57
2018-05-05 00:50:00-07,101170,74.13
2018-05-05 00:50:00-07,101171,61.27
2018-05-05 00:50:00-07,101172,64.41
2018-05-05 00:50:00-07,101173,69.71
2018-05-05 00:50:00-07,101174,63.14
2018-05-05 00:50:00-07,101175,67.69
2018-05-05 00:50:00-07,101176,70.75
2018-05-05 00:50:00-07,101177,63.91
2018-05-05 00:50:00-07,101178,66.45
2018-05-05 00:50:00-07,101179,62.25
2018-05-05 00:50:00-07,101180,61.62
2018-05-05 00:50:00-07,101181,65.69
2018-05-05 00:50:00-07,101182,70.25
2018-05-05 00:50:00-07,101183,63.6
2018-05-05 00:50:00-07,101184,67.58
2018-05-05 00:50:00-07,101185,70.8
2018-05-05 00:50:00-07,101186,60.44
